Membership No  Date Joined  Active  
    50517      2016-9-22    yes   
    70896      2019-5-1     yes   
    12052      2019-3-18    yes   
    39333      2018-4-17    yes   
    51246      2019-1-21    no    
    63808      2018-1-11    yes   
    54022      2016-12-3    no    
    33656      2016-11-4    yes   
    57329      2020-6-21    yes   
    52366      2017-4-14    yes   
    12542      2016-3-14    no    
    64587      2015-12-5    yes   
    20618      2018-6-2     yes   
    89230      2020-4-12    yes   
    71313      2020-9-17    no    
    92501      2015-7-9     yes   
    52171      2016-4-17    no    
    77870      2015-9-9     no    
    89246      2016-1-24    no    
    91939      2019-10-18   yes   
