Membership No  Date Joined  Active  
    85205      2016-10-16   yes   
    71361      2017-4-22    no    
    41622      2018-1-21    no    
    17776      2020-9-18    no    
    34746      2020-10-25   yes   
    90768      2020-9-12    yes   
    46096      2017-7-10    no    
    36179      2020-6-25    no    
    35953      2016-10-21   yes   
    43077      2018-4-17    yes   
    11632      2020-12-3    yes   
    56784      2017-7-10    no    
    65371      2017-3-3     no    
    42266      2017-4-7     yes   
    32732      2018-4-21    no    
    70156      2020-5-1     yes   
    59856      2015-3-12    yes   
    67301      2016-5-8     yes   
    66729      2017-4-23    no    
    91333      2017-7-16    no    
